,Unnamed: 0,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals,home_result_list
1140,1140,4-3-3,243,624,321,367,2294,2258,4-1-4-1,135,338,132,122,2089,2021,4,3,W
1141,1141,4-4-2,227,700,171,206,2065,2233,4-4-2,287,437,134,366,2038,2187,1,0,W
1142,1142,4-2-3-1,287,279,272,416,2039,2144,3-4-3,238,515,61,300,2190,2204,0,3,L
1143,1143,3-4-3,238,515,61,300,2190,2204,3-4-3,217,497,123,156,2101,2195,2,1,W
1144,1144,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,287,279,272,416,2039,2144,4,3,W
1145,1145,4-3-3,217,462,150,155,2193,2254,3-4-3,265,337,132,193,1892,2003,5,2,W
1146,1146,4-3-3,231,552,325,239,2270,2261,4-3-3,243,624,321,367,2294,2258,0,2,L
1147,1147,4-1-4-1,229,741,296,82,2158,2255,4-4-2,371,727,136,419,2071,2255,4,2,W
1148,1148,4-4-2,287,437,134,366,2038,2187,4-3-3,236,538,84,242,2261,2279,2,5,L
1149,1149,4-3-3,272,282,195,271,1913,2062,3-5-2,193,336,284,314,2025,1969,1,0,W
1150,1150,4-4-2,227,700,171,206,2065,2233,4-3-3,217,462,150,155,2193,2254,1,2,L
1151,1151,4-4-2,371,727,136,419,2071,2255,4-4-2,287,437,134,366,2038,2187,0,1,L
1152,1152,4-2-3-1,219,606,147,172,2290,2191,3-4-3,229,741,296,82,2158,2255,2,5,L
1153,1153,4-3-3,243,624,321,367,2294,2258,3-4-3,238,515,61,300,2190,2204,3,1,W
1154,1154,3-4-3,287,279,272,416,2039,2144,4-3-3,272,282,195,271,1913,2062,0,3,L
1155,1155,4-2-3-1,231,552,325,239,2270,2261,4-4-2,227,700,171,206,2065,2233,4,0,W
1156,1156,4-5-1,135,338,132,122,2089,2021,4-3-3,219,606,147,172,2290,2191,1,1,D
1157,1157,4-3-3,217,462,150,155,2193,2254,3-4-3,213,423,503,224,2212,2206,4,2,W
1158,1158,3-4-3,229,741,296,82,2158,2255,3-4-3,217,497,123,156,2101,2195,0,3,L
1159,1159,4-3-3,238,515,61,300,2190,2204,3-5-2,193,336,284,314,2025,1969,2,1,W
1160,1160,4-2-3-1,272,282,195,271,1913,2062,4-3-3,243,624,321,367,2294,2258,7,2,W
1161,1161,4-4-2,287,437,134,366,2038,2187,4-2-3-1,265,337,132,193,1892,2003,2,0,W
1162,1162,3-5-2,219,606,147,172,2290,2191,3-4-3,238,515,61,300,2190,2204,1,0,W
1163,1163,4-2-3-1,231,552,325,239,2270,2261,4-4-2,287,437,134,366,2038,2187,3,3,D
1164,1164,4-3-3,217,462,150,155,2193,2254,4-3-3,243,624,321,367,2294,2258,2,2,D
1165,1165,4-1-4-1,229,741,296,82,2158,2255,4-2-3-1,272,282,195,271,1913,2062,0,1,L
1166,1166,4-4-2,227,700,171,206,2065,2233,3-4-3,213,423,503,224,2212,2206,1,1,D
1167,1167,4-1-4-1,135,338,132,122,2089,2021,3-5-2,221,423,0,292,2188,2264,0,1,L
1168,1168,4-2-3-1,272,282,195,271,1913,2062,4-4-1-1,135,338,132,122,2089,2021,0,3,L
1169,1169,4-2-3-1,243,624,321,367,2294,2258,3-5-2,193,336,284,314,2025,1969,2,1,W
1170,1170,4-3-3,287,279,272,416,2039,2144,4-4-2,227,700,171,206,2065,2233,1,2,L
1171,1171,3-4-3,238,515,61,300,2190,2204,3-4-3,229,741,296,82,2158,2255,0,1,L
1172,1172,4-4-2,287,437,134,366,2038,2187,4-3-3,217,462,150,155,2193,2254,2,0,W
1173,1173,4-4-2,371,727,136,419,2071,2255,4-2-3-1,236,538,84,242,2261,2279,0,1,L
1174,1174,4-3-3,243,624,321,367,2294,2258,3-4-3,217,497,123,156,2101,2195,2,1,W
1175,1175,4-4-2,371,727,136,419,2071,2255,4-3-3,231,552,325,239,2270,2261,0,3,L
1176,1176,4-2-3-1,272,282,195,271,1913,2062,4-4-2,287,437,134,366,2038,2187,3,4,L
1177,1177,4-1-4-1,135,338,132,122,2089,2021,3-4-3,229,741,296,82,2158,2255,1,4,L
1178,1178,4-2-3-1,287,279,272,416,2039,2144,4-1-4-1,265,337,132,193,1892,2003,2,0,W
1179,1179,4-4-2,287,437,134,366,2038,2187,3-5-2,286,593,70,287,2097,2105,2,0,W
1180,1180,4-3-3,231,552,325,239,2270,2261,3-5-2,193,336,284,314,2025,1969,4,1,W
1181,1181,4-3-3,217,462,150,155,2193,2254,4-2-3-1,245,562,0,87,2278,2314,1,3,L
1182,1182,4-4-2,227,700,171,206,2065,2233,3-5-1-1,135,338,132,122,2089,2021,4,1,W
1183,1183,4-2-3-1,219,606,147,172,2290,2191,4-2-3-1,243,624,321,367,2294,2258,1,1,D
1184,1184,3-4-3,229,741,296,82,2158,2255,3-4-3,221,423,0,292,2188,2264,1,0,W
1185,1185,3-4-3,238,515,61,300,2190,2204,4-2-3-1,272,282,195,271,1913,2062,0,3,L
1186,1186,4-2-3-1,272,282,195,271,1913,2062,3-4-1-2,213,423,503,224,2212,2206,1,2,L
